Statement,Speaker,Rating,Date,BinaryTarget
Teachers play a key role in shaping the minds and values of future generations.,Sandeep Reddy,Low,2024-11-04,0
Teachers play a key role in shaping the minds and values of future generations.,Prof. Rajesh Kumar,High,2024-10-09,1
Students learn better when education is connected to real-life applications.,Prof. Rajesh Kumar,High,2025-09-20,0
Modern classrooms are adopting smart boards and interactive learning tools.,Arun Patel,Medium,2024-11-02,1
Online learning has made education accessible to students in remote areas.,Rita Sahu,High,2024-10-27,0
Online learning has made education accessible to students in remote areas.,Arun Patel,Low,2025-08-21,1
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,Medium,2024-12-07,1
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,High,2024-11-24,1
Teachers play a key role in shaping the minds and values of future generations.,Anita Desai,Medium,2025-01-30,1
Vocational training helps students develop practical skills for real-world jobs.,Arun Patel,Low,2024-12-12,1
Online learning has made education accessible to students in remote areas.,Dr. Neha Verma,High,2025-04-15,1
Students learn better when education is connected to real-life applications.,Sandeep Reddy,High,2024-10-08,0
Modern classrooms are adopting smart boards and interactive learning tools.,Anita Desai,Medium,2025-06-06,1
Teachers play a key role in shaping the minds and values of future generations.,Dr. Meera Sharma,High,2024-12-02,1
The use of artificial intelligence is transforming modern education systems.,Arun Patel,Medium,2024-12-17,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,High,2025-06-17,0
"Education should focus on creativity and critical thinking, not just memorization.",Prof. Rajesh Kumar,High,2025-08-03,1
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Neha Verma,Low,2025-03-17,1
"Education should focus on creativity and critical thinking, not just memorization.",Anita Desai,Low,2025-01-21,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,High,2024-11-07,0
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Anita Desai,Medium,2025-08-27,1
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,High,2025-01-15,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,Low,2025-09-16,0
Modern classrooms are adopting smart boards and interactive learning tools.,Rita Sahu,Low,2024-10-12,0
The use of artificial intelligence is transforming modern education systems.,Dr. Neha Verma,Medium,2025-03-18,1
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,Low,2025-05-23,1
Scholarships and financial aid allow talented students to pursue higher studies.,Vikas Menon,Medium,2024-11-23,1
Online learning has made education accessible to students in remote areas.,Vikas Menon,Low,2024-11-11,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,Medium,2024-12-25,0
The use of artificial intelligence is transforming modern education systems.,Kiran Bhatia,High,2025-07-05,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Anita Desai,High,2025-01-26,0
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2024-12-22,1
The use of artificial intelligence is transforming modern education systems.,Dr. Meera Sharma,Low,2025-08-10,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Mohit Agarwal,Medium,2024-10-13,1
Digital libraries have replaced traditional ones in many universities.,Rita Sahu,Low,2025-05-05,0
Scholarships and financial aid allow talented students to pursue higher studies.,Mohit Agarwal,Medium,2024-11-07,0
Online learning has made education accessible to students in remote areas.,Vikas Menon,Medium,2024-10-07,0
"Education should focus on creativity and critical thinking, not just memorization.",Sandeep Reddy,High,2025-07-13,1
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,High,2024-12-20,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2024-12-19,0
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Medium,2025-06-29,0
Modern classrooms are adopting smart boards and interactive learning tools.,Sandeep Reddy,Medium,2025-07-07,0
Digital libraries have replaced traditional ones in many universities.,Dr. Neha Verma,High,2025-08-18,0
Online learning has made education accessible to students in remote areas.,Rita Sahu,High,2025-07-07,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,Low,2025-09-06,1
Students learn better when education is connected to real-life applications.,Mohit Agarwal,Low,2025-08-20,1
Digital libraries have replaced traditional ones in many universities.,Mohit Agarwal,High,2025-07-08,1
The use of artificial intelligence is transforming modern education systems.,Prof. Rajesh Kumar,High,2024-11-20,0
Vocational training helps students develop practical skills for real-world jobs.,Dr. Neha Verma,High,2024-10-08,0
Teachers play a key role in shaping the minds and values of future generations.,Rita Sahu,High,2024-11-12,1
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,Low,2024-10-08,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2024-10-31,0
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,High,2024-11-24,1
Students learn better when education is connected to real-life applications.,Vikas Menon,Medium,2025-02-18,0
Scholarships and financial aid allow talented students to pursue higher studies.,Anita Desai,High,2025-02-24,1
Online learning has made education accessible to students in remote areas.,Anita Desai,Medium,2025-05-28,0
Online learning has made education accessible to students in remote areas.,Vikas Menon,High,2025-01-07,1
Vocational training helps students develop practical skills for real-world jobs.,Anita Desai,High,2025-07-22,0
Vocational training helps students develop practical skills for real-world jobs.,Mohit Agarwal,High,2025-08-01,1
Students learn better when education is connected to real-life applications.,Anita Desai,Low,2024-10-20,1
"Inclusive education ensures that every child, regardless of ability, gets equal learning opportunities.",Prof. Rajesh Kumar,Medium,2024-11-07,1
Vocational training helps students develop practical skills for real-world jobs.,Dr. Meera Sharma,Low,2025-02-21,1
The use of artificial intelligence is transforming modern education systems.,Rita Sahu,Medium,2024-12-03,1
The use of artificial intelligence is transforming modern education systems.,Sandeep Reddy,Low,2025-01-16,0
Modern classrooms are adopting smart boards and interactive learning tools.,Mohit Agarwal,High,2025-04-30,0
Scholarships and financial aid allow talented students to pursue higher studies.,Dr. Meera Sharma,Low,2025-02-16,0
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,High,2025-01-30,0
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,High,2025-08-21,1
Online learning has made education accessible to students in remote areas.,Vikas Menon,High,2025-04-27,1
Scholarships and financial aid allow talented students to pursue higher studies.,Mohit Agarwal,Low,2025-05-12,1
Students learn better when education is connected to real-life applications.,Kiran Bhatia,High,2025-04-05,0
Digital libraries have replaced traditional ones in many universities.,Arun Patel,High,2024-11-26,0
"Education should focus on creativity and critical thinking, not just memorization.",Kiran Bhatia,High,2025-09-18,1
Online learning has made education accessible to students in remote areas.,Kiran Bhatia,Medium,2025-09-27,0
Digital libraries have replaced traditional ones in many universities.,Vikas Menon,Medium,2025-01-18,0
Online learning has made education accessible to students in remote areas.,Vikas Menon,Low,2025-08-07,1
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,Medium,2024-12-20,1
Modern classrooms are adopting smart boards and interactive learning tools.,Kiran Bhatia,Low,2025-06-29,1
The use of artificial intelligence is transforming modern education systems.,Arun Patel,High,2025-03-26,1
Teachers play a key role in shaping the minds and values of future generations.,Rita Sahu,High,2024-10-12,1
Scholarships and financial aid allow talented students to pursue higher studies.,Rita Sahu,High,2025-05-21,0
Vocational training helps students develop practical skills for real-world jobs.,Vikas Menon,Low,2024-10-07,1
Vocational training helps students develop practical skills for real-world jobs.,Rita Sahu,Low,2025-08-11,1
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Medium,2024-10-31,0
"Education should focus on creativity and critical thinking, not just memorization.",Rita Sahu,High,2024-12-14,0
The use of artificial intelligence is transforming modern education systems.,Vikas Menon,Low,2024-10-28,1
Vocational training helps students develop practical skills for real-world jobs.,Dr. Meera Sharma,Medium,2024-10-30,0
Modern classrooms are adopting smart boards and interactive learning tools.,Dr. Neha Verma,Low,2025-08-14,0
Students learn better when education is connected to real-life applications.,Dr. Meera Sharma,Low,2025-06-07,0
"Education should focus on creativity and critical thinking, not just memorization.",Dr. Neha Verma,Low,2025-06-26,0
